failed_login_attempts,login_time_deviation,ip_change,device_change,transaction_amount_deviation,risk_label
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
2,1,1,0,1,1
3,1,1,0,1,1
4,1,1,1,1,1
2,1,1,1,0,1
5,1,0,1,1,1
1,0,0,0,0,0
0,0,0,0,0,0
2,1,0,1,0,1
3,1,1,0,1,1
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
2,1,1,0,1,1
1,0,0,0,0,0
3,1,1,1,1,1
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,1,1,0,1,1
3,1,1,1,1,1
2,1,0,1,0,1
4,1,1,1,1,1
5,1,1,0,1,1
2,0,1,1,0,1
3,0,1,0,0,1
1,0,0,1,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
2,1,0,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
2,0,1,0,0,0
3,0,0,0,0,0
0,0,1,0,0,0
1,0,1,0,0,0
0,1,0,1,0,1
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
2,1,0,0,0,1
3,1,1,0,1,1
5,1,1,1,1,1
2,0,0,1,0,1
4,1,0,1,0,1
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
2,1,1,0,1,1
3,1,1,1,1,1
1,0,0,0,0,0
0,0,0,0,0,0
2,1,0,0,0,1
3,1,0,1,1,1
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,1
3,0,1,0,0,1
2,1,0,1,1,1
4,1,1,0,1,1
5,1,1,1,1,1
6,1,0,0,1,1
2,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
3,0,1,1,0,1
1,0,0,1,0,0
2,0,1,0,0,1
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,1,0,0,0,1
3,1,1,0,1,1
2,0,1,0,0,1
4,1,1,1,1,1
2,0,0,1,0,1
5,1,0,1,1,1
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,1,1,1,0,1
2,0,1,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,1
2,1,1,0,1,1
3,1,1,1,1,1
4,1,1,1,1,1
2,1,0,1,0,1
5,1,1,1,1,1
0,0,0,1,0,0
1,0,0,1,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,1,0,0
2,0,1,0,1,1
3,1,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,0,1,0,1,1
3,1,1,0,1,1
4,1,1,1,1,1
2,1,1,0,0,1
5,1,1,1,1,1
2,0,1,1,0,1
1,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
2,1,1,0,1,1
3,1,1,1,1,1
4,1,1,0,1,1
2,0,0,1,0,1
5,1,1,1,1,1
1,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
2,1,0,1,0,1
3,0,1,0,0,1
2,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,1,1,1,1,1
3,1,1,1,0,1
4,1,1,0,1,1
5,1,0,1,1,1
2,0,1,1,0,1
1,1,0,1,1,1
2,0,0,1,0,1
3,0,1,0,0,1
2,1,0,0,1,1
2,1,1,0,0,1
0,0,0,0,0,0
1,0,0,0,0,0
